name,closing_date,verification_date,institution,verification,guidelines,faq,state
SAINIK SCHOOL SCHOLARSHIP SCHEME-HIMACHAL PRADESH,Open till 16-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/sanik202324.pdf,https://www.scholarships.gov.in/public/FAQ/HP_Queries.pdf,HIMACHAL PRADESH
TECHNICAL EDUCATION SCHOLARSHIP SCHEME FOR ITI LEVEL-HIMACHAL PRADESH,Closed on 05-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-02-05,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Guidelines_3050.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/FAQ _3050.pdf,HIMACHAL PRADESH
TECHNICAL EDUCATION SCHOLARSHIP SCHEME FOR DEGREE LEVEL-HIMACHAL PRADESH,Closed on 05-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-02-05,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Guidelines_3051.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/FAQ_3051.pdf,HIMACHAL PRADESH
TECHNICAL EDUCATION SCHOLARSHIP SCHEME FOR DIPLOMA LEVEL-HIMACHAL PRADESH,Closed on 05-01-2024,Open till 20-01-2024,Open till 20-01-2024,Open till 2024-02-05,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/Guidelines_3052.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/HP_state_scheme/FAQ_3052.pdf,HIMACHAL PRADESH
PRE-MATRIC SCHOLARSHIP FOR SC STUDENTS(COMPONENT-II)-HIMACHAL PRADESH,Open till 15-01-2024,Open till 30-01-2024,Open till 30-01-2024,Open till 2024-02-10,https://www.scholarships.gov.in#,https://www.scholarships.gov.in#,HIMACHAL PRADESH
POST MATRIC SCHOLARSHIP TO ST STUDENTS -JAMMU AND KASHMIR,Open till 15-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/PMS Scheme Guide Lines - Tribal Affairs.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/FAQ - Tribal Affairs.pdf,JAMMU AND KASHMIR
CENTRALLY SPONSORED SCHEME OF PRE MATRIC SCHOLARSHIP FOR SC STUDENTS (CLASS IX & X) -JAMMU AND KASHMIR,Open till 29-02-2024,Open till 10-03-2024,Open till 10-03-2024,Open till 2024-03-20,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/Guidelines_3049.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/FAQ_3048.pdf,JAMMU AND KASHMIR
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR SC STUDENTS-JAMMU AND KASHMIR,Open till 29-02-2024,Open till 10-03-2024,Open till 10-03-2024,Open till 2024-03-20,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/Guidelines_3048.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/FAQ_3049.pdf,JAMMU AND KASHMIR
UMBRELLA SCHEME FOR EDUCATION OF ST STUDENTS - PRE MATRIC SCHOLARSHIP (CLASS IX & X) FOR ST STUDENTS-JAMMU AND KASHMIR,Open till 15-02-2024,Open till 20-02-2024,Open till 20-02-2024,Open till 2024-02-28,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/Guidelines_3055.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/J&K/FAQ_3055.pdf,JAMMU AND KASHMIR
CENTRALLY SPONSORED SCHEME OF PRE-MATRIC SCHOLARSHIP FOR ST STUDENTS(CLASSES IX AND X)-LADAKH,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3022_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3022_F.pdf,LADAKH
CENTRALLY SPONSORED SCHEME OF POST MATRIC SCHOLARSHIP FOR ST STUDENTS-LADAKH,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3023_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3023_F.pdf,LADAKH
LAKSHADWEEP SCHOLARSHIP SCHEME,Open till 15-01-2024,Open till 31-01-2024,Open till 31-01-2024,Open till 2024-02-20,https://www.scholarships.gov.in/public/schemeGuidelines/Lakshadweep/Lakshadweep_3024_G.pdf,https://www.scholarships.gov.in/public/schemeGuidelines/Lakshadweep/Lakshadweep_3024_F.pdf,LAKSHADWEEP SCHOLARSHIP SCHEME
Pre-Matric Scholarship for ST students (For Class IX and X)-Manipur,Open till 30-01-2024,Open till 14-02-2024,Open till 14-02-2024,Open till 2024-04-15,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/PreMatricGuidelinesManipur.pdf,https://www.scholarships.gov.in#,Manipur
Post Matric Scholarship for ST students-Manipur,Open till 30-01-2024,Open till 14-02-2024,Open till 14-02-2024,Open till 2024-04-15,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/PostMatricGuidelinesManipur.pdf,https://www.scholarships.gov.in#,Manipur
CENTRALLY SPONSORED POST MATRIC SCHOLARSHIP FOR SC STUDENTS MANIPUR,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/manipur_3032_G.pdf,https://www.scholarships.gov.in#,CENTRALLY SPONSORED POST MATRIC SCHOLARSHIP FOR SC STUDENTS MANIPUR
PM-YASASVI POST MATRIC SCHOLARSHIP FOR OBC STUDENTS MANIPUR,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/manipur_3033_G.pdf,https://www.scholarships.gov.in#,YASASVI POST MATRIC SCHOLARSHIP FOR OBC STUDENTS MANIPUR
CENTRALLY SPONSORED PRE MATRIC SCHOLARSHIP FOR SC STUDENTS STUDYING IN CLASS IX AND X MANIPUR,Open till 15-01-2024,Open till 15-01-2024,Open till 15-01-2024,Open till 2024-01-31,https://www.scholarships.gov.in/public/schemeGuidelines/Manipur_state_scheme/manipur_3035_G.pdf,https://www.scholarships.gov.in#,CENTRALLY SPONSORED PRE MATRIC SCHOLARSHIP FOR SC STUDENTS STUDYING IN CLASS IX AND X MANIPUR
